Freq,size,media,max_fft,min_freq,max_freq,Freq-min,max-Freq,left,right,OK
164,5,190155,738148,160,167,3,3,547993.6509063642,-107775.25008210412,1
126,2,26010,42343,126,128,0,1,-1,-1,0
119,2,13924,21535,117,119,1,0,-1,-1,0
169,3,8263,17036,169,173,0,3,-1,-1,0
201,3,7493,14871,201,205,0,3,-1,-1,0
113,3,6821,14324,111,115,1,1,-1,-1,0
103,3,11582,14034,101,105,1,1,-1,-1,0
216,6,3673,14015,210,220,5,3,4421.9276158813955,-7554.608869694532,0
195,5,180857,662632,191,199,3,3,481774.31981683103,-118791.46292221581,0
164,5,80187,328286,160,167,3,3,248099.559132697,-39694.2572016301,1
123,3,172511,267645,121,125,1,1,-1,-1,0
201,3,5866,13512,201,205,0,3,-1,-1,0
154,5,4191,12195,150,158,3,3,8003.195467422607,-726.5249926357246,0
126,2,6051,9994,126,128,0,1,-1,-1,0
187,4,6661,8925,183,189,3,1,1559.5819522309303,-2967.6904136116545,0
169,3,3855,8161,169,173,0,3,-1,-1,0
236,7,1135,7834,230,242,5,5,5612.609286191435,-1170.5196657903753,0
216,7,657,7832,210,222,5,5,3293.9660249428853,-5370.296605777205,0
123,3,492254,719285,121,125,1,1,-1,-1,0
164,5,72138,256113,160,167,3,3,183975.81785137334,-46256.25425601384,1
126,2,23884,39566,126,128,0,1,-1,-1,0
119,2,10988,18726,117,119,1,0,-1,-1,0
91,3,9453,11555,89,93,1,1,-1,-1,0
113,3,9051,11473,111,115,1,1,-1,-1,0
154,5,3925,11154,150,158,3,3,7229.443803890895,-649.2620020800896,0
132,3,5854,10298,130,134,1,1,-1,-1,0
195,5,4920,9654,191,199,3,3,1823.0789435712613,-8876.212919210073,0
226,7,788,8386,220,232,5,5,5631.017256657675,-1606.2338729778594,0
164,5,190509,710552,160,167,3,3,520043.4421814475,-107695.82786722388,1
195,5,195233,682255,191,199,3,3,487021.80802138534,-128978.95299858577,0
123,3,408097,605433,121,125,1,1,-1,-1,0
126,2,18973,31760,126,128,0,1,-1,-1,0
207,5,9483,18219,203,210,3,3,3490.745423645567,-14753.626003658273,0
169,3,8308,14088,169,173,0,3,-1,-1,0
134,3,11881,13524,132,136,1,1,-1,-1,0
216,6,3576,12787,212,222,3,5,4347.48975071078,-7465.531269832949,0
201,1,11843,11843,201,201,0,0,-1,-1,0
113,3,8283,11708,111,115,1,1,-1,-1,0
